Day fraction since midnight on ,200 kPa (Pa),DO probe (mg/L),Source Pressure (Pa),air valve control ()
0.646456352,17099.55859,0.499256074,30804.75,49981.07747
0.64646794,17106.88086,0.578118622,30804.75,49886.07416
0.646479521,17148.88477,0.738456607,30804.75,50203.18756
0.646491095,17108.25391,0.941793263,30804.75,49964.68086
0.646502653,17173.76172,1.190726757,30549.6582,50747.08263
0.646514236,17033.40039,1.335725308,30549.6582,50253.01111
0.646525814,17087.61719,1.437965632,30549.6582,50285.51724
0.646537364,17009.16797,1.49358213,30549.6582,50423.43211
0.646548949,17034.08008,1.538823724,30549.6582,50313.01819
0.646560518,16893.75,1.629702687,30251.33398,50757.08016
0.646572099,16961.42969,1.723932147,30251.33398,50647.53615
0.646583673,16898.69727,1.810376048,30251.33398,50639.37338
0.646595254,16800.96484,1.883586526,30251.33398,50585.88786
0.646606814,16824.66992,1.983818889,30251.33398,50560.72275
0.646618384,16833.23047,2.075479507,29988.1543,50945.11546
0.646629968,16761.21484,2.173280001,29988.1543,50910.7275
0.646641548,16766.74805,2.305642366,29988.1543,51022.0782
0.646653107,16681.54688,2.445627928,29988.1543,50939.57791
0.646664683,16620.70313,2.612837076,29988.1543,50664.29178
0.646676274,16696.49414,2.759411812,29732.47852,51320.9405
0.646687833,16684.26367,2.852454662,29732.47852,51408.52364
0.646699423,16665.02539,3.056624651,29732.47852,51277.60473
0.646710985,16579.52539,3.204001427,29732.47852,51164.72593
0.646722571,16615.85742,3.339398623,29732.47852,51151.20698
0.646734133,16508.98242,3.491389275,29500.20508,51416.03329
0.646745725,16504.18164,3.650871992,29500.20508,51445.57836
0.646757279,16556.54688,3.828877211,29500.20508,51578.00032
0.64676885,16444.35742,3.967698813,29500.20508,51180.71401
0.646780442,16406.37891,4.103263855,29500.20508,51312.9202
0.646791997,16442.22852,4.231984615,29239.98633,51992.20467
0.64680358,16342.71289,4.410010815,29239.98633,51724.17234
0.64681515,16393.07422,4.529006004,29239.98633,51695.10791
0.646826731,16258.88281,4.669444561,29239.98633,51401.50687
0.64683831,16296.54785,4.783595085,29239.98633,51735.71237
0.64684988,16274.27148,4.883591652,29026.1875,52059.05334
0.646861463,16229.37891,5.008928776,29026.1875,51896.44044
0.646873032,16248.20117,5.152215958,29026.1875,51896.44044
0.64688459,16159.79199,5.280164242,29026.1875,51862.94829
0.646896165,16251.1875,5.400374413,29026.1875,52151.74326
0.646907743,16073.26758,5.453969002,28804.89453,52213.83207
0.646919331,16051.5459,5.567588329,28804.89453,52106.08658
0.646930906,16050.76465,5.702337742,28804.89453,52030.67911
0.646942481,16082.18262,5.783786774,28804.89453,52211.05174
0.646954035,16101.07324,5.888836861,28804.89453,52269.26812
0.646965619,16055.81738,5.952020168,28624.07813,52626.98863
0.646977195,16050.42871,6.059527874,28624.07813,52526.39384
